Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
2469.400242,1446.558718,28.128,-2.8,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2519.800124,1446.561582,20.946,-5.0,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2519.500107,1446.566631,21.014,-4.96,7,0,14.33,0.0,inf,340.75648900000084
1050.553088,1446.569072,25.964,-5.66,10,0,12.8,10.3,1.2427184466019416,22.800303999999997
37.200128,1446.584658,26.1,-7.36,9,0,12.8,0.0,inf,251.94340899999997
1474.850357,1446.609305,27.1,-4.03,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1811.700624,1446.615031,26.804,-4.98,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1112.850651,1446.627178,23.048,-5.42,11,1,14.33,0.0,inf,209.20896600000006
2517.299982,1446.639844,20.996,-4.98,7,0,14.33,0.0,inf,340.75648900000084
1066.003972,1446.646303,26.212,-7.04,10,0,12.8,10.3,1.2427184466019416,22.800303999999997
1259.800056,1446.648977,26.438,-5.21,9,1,12.8,0.0,inf,251.94340899999997
1262.600217,1446.65024,26.412,-5.21,9,1,12.8,0.0,inf,251.94340899999997
1263.100245,1446.651503,26.434,-5.22,9,1,12.8,0.0,inf,251.94340899999997
1710.699846,1446.652371,27.148,-5.7,7,0,14.33,0.0,inf,340.75648900000084
1266.402434,1446.671704,26.444,-5.28,9,1,12.8,0.0,inf,251.94340899999997
1265.004354,1446.675491,26.416,-5.2,9,1,12.8,0.0,inf,251.94340899999997
984.000282,1446.68448,27.02,-3.74,8,1,13.99,0.0,inf,243.39392099999986
2515.899901,1446.687811,21.012,-5.06,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1259.000011,1446.690637,26.372,-5.23,9,1,12.8,0.0,inf,251.94340899999997
1270.100646,1446.702007,26.414,-5.3,9,1,12.8,0.0,inf,251.94340899999997
1813.899749,1446.706502,27.028,-4.73,7,0,14.33,0.0,inf,340.75648900000084
1807.500383,1446.724824,26.586,-8.55,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1258.599988,1446.728496,26.334,-5.7,9,1,12.8,10.3,1.2427184466019416,251.94340899999997
1809.90052,1446.734647,27.106,-5.17,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1856.450183,1446.73567,27.098,-4.87,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1872.750115,1446.736559,27.056,-4.93,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2514.699833,1446.738306,21.058,-4.89,7,0,14.33,0.0,inf,340.75648900000084
1876.250315,1446.739092,27.014,-4.97,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1876.85035,1446.750455,27.044,-4.87,7,0,14.33,0.0,inf,340.75648900000084
1137.950087,1446.759247,27.068,-4.92,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1875.850293,1446.763079,27.036,-4.96,7,0,14.33,0.0,inf,340.75648900000084
1705.900572,1446.770019,26.992,-5.01,7,0,14.33,0.0,inf,340.75648900000084
1861.65048,1446.771522,27.036,-4.88,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1873.750173,1446.773174,27.066,-4.94,7,0,14.33,0.0,inf,340.75648900000084
1871.850064,1446.774426,27.068,-4.9,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1715.200104,1446.781591,26.974,-4.9,7,0,14.33,0.0,inf,340.75648900000084
1751.300169,1446.782364,27.048,-5.0,7,0,14.33,0.0,inf,340.75648900000084
1707.400658,1446.7877,27.038,-4.77,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2513.799781,1446.796381,21.002,-4.87,7,0,14.33,0.0,inf,340.75648900000084
1142.050322,1446.800221,21.666,-2.62,11,0,14.33,0.0,inf,209.20896600000006
1864.050618,1446.800581,27.088,-4.86,7,0,14.33,0.0,inf,340.75648900000084
1473.400274,1446.802576,26.666,-3.26,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1703.100412,1446.80284,27.062,-4.91,7,0,14.33,0.0,inf,340.75648900000084
2227.05038,1446.804282,27.042,-4.45,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1138.650127,1446.804702,27.06,-4.76,7,0,14.33,0.0,inf,340.75648900000084
1202.755794,1446.804723,26.862,-5.01,9,1,12.8,0.0,inf,251.94340899999997
1818.700024,1446.807701,27.01,-4.75,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1733.000122,1446.808586,27.094,-4.73,7,0,14.33,0.0,inf,340.75648900000084
2513.399758,1446.809006,21.052,-4.87,7,0,14.33,0.0,inf,340.75648900000084
1689.300622,1446.810369,27.04,-4.87,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1736.800339,1446.811119,27.068,-4.91,7,0,14.33,0.0,inf,340.75648900000084
1018.550258,1446.813124,27.046,-4.87,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1695.699988,1446.81418,27.062,-4.99,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1691.099725,1446.815424,27.032,-5.02,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
35.550034,1446.822001,27.698,-4.54,7,0,14.33,0.0,inf,340.75648900000084
1735.100242,1446.822478,27.048,-5.0,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1735.200248,1446.827529,27.064,-4.86,7,0,14.33,0.0,inf,340.75648900000084
1733.300139,1446.830051,27.02,-4.88,7,0,14.33,0.0,inf,340.75648900000084
1690.000663,1446.830572,27.02,-4.84,7,0,14.33,0.0,inf,340.75648900000084
2.150123,1446.84467,27.086,-4.92,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1802.700109,1446.84511,27.088,-4.85,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1734.400202,1446.845204,27.036,-4.96,7,0,14.33,0.0,inf,340.75648900000084
2348.400321,1446.846785,27.038,-4.55,7,0,14.33,0.0,inf,340.75648900000084
1820.500127,1446.848166,27.016,-5.04,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1019.550315,1446.848478,27.048,-4.89,7,0,14.33,0.0,inf,340.75648900000084
964.400161,1446.849529,24.884,-5.03,7,0,14.33,0.0,inf,340.75648900000084
1017.350189,1446.849737,27.024,-4.92,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1793.8006,1446.850143,27.066,-4.88,7,0,14.33,0.0,inf,340.75648900000084
1800.8,1446.850158,27.06,-4.87,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1742.899688,1446.851605,27.002,-4.78,7,0,14.33,0.0,inf,340.75648900000084
1808.500441,1446.851953,27.09,-4.93,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1734.300196,1446.85278,27.05,-4.89,7,0,14.33,0.0,inf,340.75648900000084
1808.900463,1446.85322,26.878,-4.7,7,0,14.33,0.0,inf,340.75648900000084
1722.000493,1446.853232,27.084,-4.98,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1862.850549,1446.853608,27.056,-4.87,7,0,14.33,0.0,inf,340.75648900000084
1758.50058,1446.858147,27.08,-4.9,7,0,14.33,0.0,inf,340.75648900000084
1020.250355,1446.858581,27.048,-4.77,7,0,14.33,0.0,inf,340.75648900000084
1785.800142,1446.858743,27.05,-4.91,7,0,14.33,0.0,inf,340.75648900000084
1792.600531,1446.861505,27.078,-4.93,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
2218.649899,1446.86254,27.104,-4.59,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1020.350361,1446.864894,27.044,-4.85,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1722.700533,1446.865898,27.076,-5.04,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
